Id,MSSubClass,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,TotalBath,BedroomAbvGr,GarageCars,YrSold,SalePrice
20,20,NAmes,Norm,1Fam,1Story,5,6,1958,1965,1339,0,0,1,0,1,3,1,2009,139000
21,60,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,2376,0,0,3,1,3.5,4,3,2006,325300
22,45,IDOTRR,Norm,1Fam,1.5Unf,7,7,1930,1950,1108,0,0,1,0,1,3,1,2007,139400
23,20,CollgCr,Norm,1Fam,1Story,8,5,2002,2002,1795,0,0,2,0,2,3,2,2008,230000
24,120,MeadowV,Norm,TwnhsE,1Story,5,7,1976,1976,1060,1,0,1,0,2,3,2,2007,129900
25,20,Sawyer,Norm,1Fam,1Story,5,8,1968,2001,1060,1,0,1,0,2,3,1,2010,154000
26,20,NridgHt,Norm,1Fam,1Story,8,5,2007,2007,1600,0,0,2,0,2,3,3,2009,256300
27,20,NAmes,Norm,1Fam,1Story,5,7,1951,2000,900,0,1,1,0,1.5,3,2,2010,134800
28,20,NridgHt,Norm,1Fam,1Story,8,5,2007,2008,1704,1,0,2,0,3,3,3,2010,306000
29,20,NAmes,Norm,1Fam,1Story,5,6,1957,1997,1600,1,0,1,0,2,2,1,2006,207500
30,30,BrkSide,Feedr,1Fam,1Story,4,6,1927,1950,520,0,0,1,0,1,1,1,2008,68500
31,70,IDOTRR,Feedr,1Fam,2Story,4,4,1920,1950,1317,0,0,1,0,1,3,1,2008,40000
32,20,Sawyer,Norm,1Fam,1Story,5,6,1966,2006,1228,0,0,1,1,1.5,3,1,2008,149350
33,20,CollgCr,Norm,1Fam,1Story,8,5,2007,2007,1234,0,0,2,0,2,3,2,2008,179900
34,20,NAmes,Norm,1Fam,1Story,5,5,1959,1959,1700,0,1,1,1,2,4,2,2010,165500
35,120,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,1561,1,0,2,0,3,2,2,2007,277500
36,60,NridgHt,Norm,1Fam,2Story,8,5,2004,2005,2452,0,0,3,1,3.5,4,3,2006,309000
37,20,CollgCr,Norm,1Fam,1Story,5,5,1994,1995,1097,0,0,1,1,1.5,3,2,2009,145000
38,20,NAmes,Norm,1Fam,1Story,5,6,1954,1990,1297,0,1,1,0,1.5,3,2,2009,153000
39,20,NAmes,Norm,1Fam,1Story,5,7,1953,2007,1057,1,0,1,0,2,3,1,2010,109000
40,90,Edwards,Norm,Duplex,1Story,4,5,1955,1955,1152,0,0,2,0,2,2,0,2008,82000
41,20,NAmes,Norm,1Fam,1Story,6,5,1965,1965,1324,0,0,2,0,2,3,2,2006,160000
42,20,Timber,Norm,1Fam,1Story,5,6,1959,1959,1328,0,1,1,1,2,2,1,2007,170000
43,85,SawyerW,Norm,1Fam,SFoyer,5,7,1983,1983,884,1,0,1,0,2,2,2,2007,144000
44,20,CollgCr,Norm,1Fam,1Story,5,6,1975,1980,938,1,0,1,0,2,3,1,2008,130250
45,20,NAmes,Norm,1Fam,1Story,5,6,1959,1959,1150,1,0,1,0,2,3,1,2006,141000
46,120,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,1752,1,0,2,0,3,2,2,2010,319900
47,50,Mitchel,Norm,1Fam,1.5Fin,7,5,2003,2003,2149,1,0,1,1,2.5,1,2,2009,239686
48,20,Somerst,Norm,1Fam,1Story,8,5,2006,2006,1656,0,0,2,0,2,3,3,2007,249700
49,190,OldTown,Norm,2fmCon,2Story,4,5,1920,2008,1452,0,0,2,0,2,2,0,2009,113000
50,20,Sawyer,Norm,1Fam,1Story,5,7,1966,1966,955,1,0,1,0,2,3,1,2007,127000
51,60,Gilbert,Norm,1Fam,2Story,6,6,1997,1997,1470,0,1,2,0,2.5,3,2,2007,177000
52,50,BrkSide,Norm,1Fam,1.5Fin,6,6,1934,1950,1176,0,0,1,0,1,3,2,2006,114500
53,90,IDOTRR,RRNn,Duplex,1Story,5,5,1963,1963,816,1,0,1,0,2,2,2,2010,110000
54,20,Veenker,Norm,1Fam,1Story,9,5,1981,1987,1842,2,0,0,1,2.5,0,3,2006,385000
55,80,NAmes,Norm,1Fam,SLvl,5,5,1955,1955,1360,0,0,1,0,1,3,2,2007,130000
56,20,NAmes,Norm,1Fam,1Story,6,5,1964,1964,1425,0,0,2,0,2,3,2,2008,180500
57,160,Somerst,Norm,Twnhs,2Story,8,5,1999,2000,1739,1,0,2,1,3.5,3,2,2009,172500
58,60,CollgCr,Norm,1Fam,2Story,7,5,2004,2004,1720,0,0,2,1,2.5,3,2,2006,196500
59,60,StoneBr,Norm,1Fam,2Story,10,5,2006,2006,2945,0,0,3,1,3.5,3,3,2006,438780
60,20,CollgCr,Norm,1Fam,1Story,5,7,1972,1972,780,0,0,1,0,1,2,1,2008,124900
61,20,SawyerW,RRAe,1Fam,1Story,6,5,2004,2004,1158,1,0,1,1,2.5,3,2,2006,158000
62,75,IDOTRR,Norm,1Fam,2.5Unf,5,7,1920,1996,1111,0,0,1,0,1,3,1,2007,101000
63,120,NridgHt,Norm,TwnhsE,1Story,8,5,2006,2006,1370,0,0,2,0,2,2,2,2007,202500
64,70,OldTown,RRAn,1Fam,2Story,7,6,1921,1950,1710,0,0,2,0,2,3,2,2010,140000
65,60,CollgCr,Norm,1Fam,2Story,7,5,1997,1998,2034,1,0,2,1,3.5,3,2,2009,219500
66,60,NridgHt,Norm,1Fam,2Story,8,5,2004,2005,2473,0,0,2,1,2.5,4,3,2007,317000
67,20,NAmes,PosA,1Fam,1Story,7,5,1970,1989,2207,1,0,2,0,3,3,2,2010,180000
68,20,CollgCr,Norm,1Fam,1Story,7,5,2003,2003,1479,1,0,2,0,3,3,2,2007,226000
69,30,OldTown,Artery,1Fam,1Story,4,6,1945,1950,747,0,0,1,0,1,2,1,2010,80000
70,50,ClearCr,Norm,1Fam,1.5Fin,7,4,1953,1953,2287,0,0,2,0,2,3,2,2006,225000
71,20,NAmes,Norm,1Fam,1Story,7,6,1973,1973,2223,1,0,2,0,3,3,2,2007,244000
72,20,Mitchel,Norm,1Fam,1Story,4,6,1982,2006,845,1,0,1,0,2,2,2,2007,129500
73,60,Gilbert,Norm,1Fam,2Story,7,5,1998,1998,1718,0,0,2,1,2.5,3,2,2009,185000
74,20,NAmes,Norm,1Fam,1Story,5,7,1954,2003,1086,1,0,1,0,2,3,2,2010,144900
75,50,OldTown,Norm,1Fam,2Story,3,6,1915,1950,1605,0,0,2,0,2,3,1,2010,107400
76,180,MeadowV,Norm,Twnhs,SLvl,4,5,1973,1973,988,1,0,1,0,2,2,1,2009,91000
77,20,NAmes,Norm,1Fam,1Story,4,7,1956,1956,952,0,0,1,0,1,2,1,2008,135750
78,50,BrkSide,Norm,1Fam,1.5Fin,5,5,1948,2001,1285,1,0,1,0,2,2,1,2008,127000
79,90,Sawyer,Norm,Duplex,1Story,4,5,1968,1968,1768,0,0,2,0,2,4,0,2010,136500
80,50,OldTown,Norm,1Fam,2Story,5,6,1910,1981,1230,0,0,1,1,1.5,2,2,2009,110000
81,60,NAmes,Norm,1Fam,2Story,6,6,1968,1968,2142,0,0,2,1,2.5,4,1,2009,193500
82,120,Mitchel,Norm,TwnhsE,1Story,6,5,1998,1998,1337,1,0,2,0,3,2,2,2006,153500
83,20,Somerst,Norm,1Fam,1Story,8,5,2007,2007,1563,0,0,2,0,2,3,3,2008,245000
84,20,NAmes,Norm,1Fam,1Story,5,5,1960,1960,1065,0,0,1,1,1.5,3,2,2007,126500
85,80,Gilbert,Norm,1Fam,SLvl,7,5,1995,1996,1474,0,0,2,1,2.5,3,2,2009,168500
86,60,NoRidge,Norm,1Fam,2Story,8,5,1991,1992,2417,0,0,2,1,2.5,4,2,2006,260000
87,60,Gilbert,Norm,1Fam,2Story,6,5,2005,2005,1560,0,0,2,1,2.5,3,2,2009,174000
88,160,Somerst,Norm,TwnhsE,2Story,6,5,2009,2009,1224,0,0,2,1,2.5,2,2,2009,164500
89,50,IDOTRR,Feedr,1Fam,1.5Fin,3,2,1915,1982,1526,0,0,1,0,1,2,0,2009,85000
90,20,CollgCr,Norm,1Fam,1Story,4,5,1994,1995,990,1,0,1,0,2,3,0,2007,123600
91,20,NAmes,Norm,1Fam,1Story,4,5,1950,1950,1040,0,0,1,0,1,2,2,2006,109900
92,20,NAmes,Norm,1Fam,1Story,5,3,1961,1961,1235,0,0,1,0,1,2,2,2006,98600
93,30,Crawfor,Norm,1Fam,1Story,5,7,1921,2006,964,1,0,1,0,2,2,2,2009,163500
94,190,OldTown,Norm,2fmCon,2.5Unf,6,6,1910,1998,2291,0,1,2,0,2.5,4,2,2007,133900
95,60,CollgCr,Norm,1Fam,2Story,6,5,1997,1997,1786,1,0,2,1,3.5,3,2,2007,204750
96,60,Gilbert,Norm,1Fam,2Story,6,8,1993,1993,1470,0,0,2,1,2.5,3,2,2009,185000
97,20,CollgCr,Norm,1Fam,1Story,7,5,1999,1999,1588,0,0,2,0,2,3,2,2006,214000
98,20,Edwards,Norm,1Fam,1Story,4,5,1965,1965,960,1,0,1,0,2,3,1,2007,94750
99,30,Edwards,Norm,1Fam,1Story,5,5,1920,1950,835,0,0,1,0,1,2,1,2010,83000
100,20,NAmes,Norm,1Fam,1Story,4,5,1959,1959,1225,1,0,1,1,2.5,3,0,2010,128950
101,20,NWAmes,Norm,1Fam,1Story,6,7,1977,2001,1610,1,0,2,0,3,3,2,2010,205000
102,60,SawyerW,Norm,1Fam,2Story,6,5,1985,1985,1732,0,0,2,1,2.5,3,2,2010,178000
103,90,SawyerW,Norm,Duplex,1Story,5,5,1979,1979,1535,0,0,2,0,2,4,2,2009,118964
104,20,CollgCr,Norm,1Fam,1Story,7,5,2009,2009,1226,0,0,2,0,2,3,3,2010,198900
105,50,IDOTRR,Norm,1Fam,1.5Fin,7,4,1931,1950,1818,0,0,1,1,1.5,4,1,2007,169500
106,60,Somerst,Norm,1Fam,2Story,8,5,2003,2004,1992,0,0,2,1,2.5,3,2,2008,250000
107,30,OldTown,Norm,1Fam,1Story,4,7,1885,1995,1047,0,0,1,0,1,2,1,2007,100000
108,20,OldTown,Norm,1Fam,1Story,5,5,1948,1950,789,0,0,1,0,1,2,1,2008,115000
109,50,IDOTRR,Artery,1Fam,1.5Fin,5,7,1919,2005,1517,0,0,2,0,2,3,0,2007,115000
110,20,NWAmes,Norm,1Fam,1Story,6,6,1977,1977,1844,0,0,2,0,2,3,2,2010,190000
111,50,Edwards,Norm,1Fam,1.5Fin,6,4,1954,1972,1855,0,0,2,0,2,4,1,2006,136900
112,80,Gilbert,Norm,1Fam,SLvl,7,5,2000,2000,1430,0,0,2,1,2.5,3,2,2010,180000
113,60,CollgCr,Norm,1Fam,2Story,7,5,2007,2007,2696,1,0,2,1,3.5,4,3,2007,383970
114,20,Crawfor,Norm,1Fam,1Story,6,5,1953,1953,2259,1,0,2,0,3,3,2,2007,217000
115,70,Crawfor,Norm,1Fam,2Story,6,8,1945,2002,2320,1,0,2,1,3.5,3,1,2007,259500
116,160,Somerst,Norm,TwnhsE,2Story,6,5,1999,1999,1458,0,0,2,1,2.5,2,2,2007,176000
117,20,Sawyer,Norm,1Fam,1Story,5,5,1962,1962,1092,0,1,1,0,1.5,3,1,2009,139000
118,20,Edwards,Norm,1Fam,1Story,5,5,2006,2007,1125,0,0,1,1,1.5,2,2,2007,155000
119,60,SawyerW,Norm,1Fam,2Story,7,5,1990,1990,3222,1,0,3,0,4,5,3,2010,320000
120,60,CollgCr,Norm,1Fam,2Story,6,5,2005,2006,1456,0,0,2,1,2.5,3,2,2006,163990
121,80,ClearCr,Norm,1Fam,SLvl,6,5,1969,1969,988,1,0,1,0,2,1,2,2006,180000
122,50,IDOTRR,Norm,1Fam,1.5Fin,4,5,1939,1950,1123,0,0,1,0,1,3,1,2007,100000
123,20,NAmes,Norm,1Fam,1Story,6,7,1958,1958,1080,0,0,1,0,1,3,1,2008,136000
124,120,SawyerW,Norm,TwnhsE,1Story,6,5,1993,1993,1199,0,0,2,0,2,2,2,2008,153900
125,20,NWAmes,Norm,1Fam,1Story,6,5,1979,1998,1586,0,0,2,0,2,3,2,2009,181000
126,190,IDOTRR,Norm,2fmCon,1.5Fin,6,8,1935,1982,754,1,0,1,0,2,2,0,2006,84500
127,120,NPkVill,Norm,TwnhsE,1Story,6,5,1976,1976,958,0,0,2,0,2,2,2,2007,128000
128,45,OldTown,Feedr,1Fam,1.5Unf,5,7,1930,1950,840,0,0,1,0,1,3,0,2007,87000
129,60,NAmes,PosN,1Fam,2Story,6,5,1966,1966,1348,0,0,1,1,1.5,3,2,2006,155000
130,20,NAmes,Norm,1Fam,1Story,5,7,1958,1991,1053,0,1,1,1,2,3,2,2006,150000
131,60,NAmes,Norm,1Fam,2Story,7,6,1966,1966,2157,0,0,2,1,2.5,4,2,2006,226000
132,60,Gilbert,Norm,1Fam,2Story,6,5,2000,2000,2054,1,0,2,1,3.5,3,2,2009,244000
133,20,NAmes,Norm,1Fam,1Story,5,6,1959,2002,1327,1,0,1,0,2,3,2,2007,150750
134,20,Timber,Norm,1Fam,1Story,8,5,2001,2002,1296,1,0,2,0,3,2,2,2009,220000
135,20,Sawyer,Norm,1Fam,1Story,5,6,1968,1993,1721,0,0,2,1,2.5,3,2,2006,180000
136,20,NWAmes,Norm,1Fam,1Story,7,6,1970,1970,1682,0,0,2,0,2,3,2,2008,174000
137,20,NAmes,Norm,1Fam,1Story,5,5,1967,1967,1214,0,0,2,0,2,3,1,2007,143000
138,90,Mitchel,Norm,Duplex,1Story,7,5,1988,1989,1959,0,0,3,0,3,5,3,2006,171000
139,60,CollgCr,Norm,1Fam,2Story,8,5,1999,2000,1852,0,0,2,1,2.5,3,3,2008,230000
140,60,CollgCr,Norm,1Fam,2Story,6,5,1997,1997,1764,1,0,2,1,3.5,3,2,2009,231500
141,20,NAmes,Norm,1Fam,1Story,4,5,1971,1971,864,0,0,1,0,1,3,0,2010,115000
142,20,CollgCr,Norm,1Fam,1Story,7,5,2005,2005,1734,1,0,2,0,3,3,2,2006,260000
143,50,NAmes,Artery,1Fam,1.5Fin,5,4,1952,1952,1385,0,0,2,0,2,4,2,2010,166000
144,20,CollgCr,Norm,1Fam,1Story,7,5,1999,1999,1501,1,0,2,0,3,3,2,2009,204000
145,90,Sawyer,RRAe,Duplex,1Story,5,5,1963,1963,1728,1,0,2,0,3,6,2,2006,125000
146,160,Edwards,Norm,Twnhs,2Story,6,5,2004,2006,1709,0,0,2,0,2,3,2,2006,130000
147,30,BrkSide,Norm,1Fam,1Story,5,7,1931,1993,875,1,0,1,0,2,2,1,2009,105000
148,60,Gilbert,Norm,1Fam,2Story,7,5,2001,2001,2035,0,0,2,1,2.5,3,2,2010,222500
149,20,SawyerW,Norm,1Fam,1Story,7,5,2004,2005,1080,1,0,1,0,2,3,0,2008,141000
150,50,BrkSide,Norm,1Fam,1.5Fin,5,4,1936,1950,1344,0,0,1,0,1,3,1,2006,115000
151,20,CollgCr,Norm,1Fam,1Story,5,6,1975,1975,969,0,0,1,1,1.5,3,2,2007,122000
152,20,NridgHt,Norm,1Fam,1Story,8,5,2007,2008,1710,1,0,2,0,3,2,3,2008,372402
153,60,NWAmes,Norm,1Fam,2Story,6,5,1971,1971,1993,0,0,2,1,2.5,4,2,2006,190000
154,20,ClearCr,Norm,1Fam,1Story,6,7,1960,1975,1252,1,0,1,0,2,1,2,2008,235000
155,30,OldTown,Norm,1Fam,1Story,6,5,1923,1950,1200,0,0,1,0,1,4,1,2006,125000
156,50,Edwards,Artery,1Fam,1.5Fin,6,5,1924,1950,1096,0,0,1,0,1,2,0,2008,79000
157,20,NAmes,Norm,1Fam,1Story,5,7,1950,1950,1040,0,0,1,0,1,2,2,2006,109500
158,60,Timber,Norm,1Fam,2Story,8,5,2009,2010,1968,0,0,2,1,2.5,4,3,2010,269500
159,60,Somerst,Norm,1Fam,2Story,7,5,2004,2005,1947,0,0,2,1,2.5,3,2,2010,254900
160,60,Gilbert,Norm,1Fam,2Story,7,5,2005,2006,2462,1,0,2,1,3.5,4,2,2006,320000
161,20,Veenker,Norm,1Fam,1Story,6,6,1984,1984,1232,0,0,2,0,2,3,2,2008,162500
162,60,NridgHt,Norm,1Fam,2Story,9,5,2003,2004,2668,1,0,2,1,3.5,3,3,2008,412500
163,20,NridgHt,Norm,1Fam,1Story,7,5,2005,2005,1541,0,0,2,0,2,3,2,2010,220000
164,45,OldTown,Norm,1Fam,1.5Unf,4,6,1956,1956,882,0,0,1,0,1,1,0,2007,103200
165,40,OldTown,Norm,1Fam,1Story,6,7,1926,2004,1616,0,0,2,0,2,3,1,2007,152000
166,190,Edwards,Norm,2fmCon,1.5Fin,5,7,1940,1999,1355,1,0,2,0,3,4,0,2008,127500
167,20,ClearCr,Norm,1Fam,1Story,5,5,1955,1993,1867,1,0,1,0,2,2,1,2009,190000
168,60,NridgHt,Norm,1Fam,2Story,8,5,2007,2007,2161,1,0,1,1,2.5,3,3,2007,325624
169,60,Gilbert,Norm,1Fam,2Story,7,5,2004,2004,1720,0,0,2,1,2.5,3,2,2007,183500
170,20,Timber,Norm,1Fam,1Story,8,6,1981,1981,1707,0,0,2,1,2.5,2,2,2006,228000
171,50,OldTown,Feedr,1Fam,1.5Fin,5,6,1941,1950,1382,0,0,1,1,1.5,2,2,2007,128500
172,20,NAmes,Norm,1Fam,1Story,6,5,1960,1960,1656,1,0,1,0,2,3,2,2010,215000
173,160,StoneBr,Norm,TwnhsE,2Story,7,7,1987,1987,1767,1,0,2,0,3,2,2,2006,239000
174,20,NAmes,Norm,1Fam,1Story,6,5,1961,1961,1362,1,0,1,1,2.5,3,2,2008,163000
175,20,Timber,Norm,1Fam,1Story,6,5,1986,1986,1651,1,0,2,0,3,3,2,2008,184000
176,20,Edwards,Norm,1Fam,1Story,6,7,1950,2001,2158,1,0,2,0,3,4,2,2007,243000
177,60,ClearCr,Norm,1Fam,2Story,6,5,1988,1989,2060,0,1,2,1,3,4,2,2007,211000
178,50,Sawyer,Norm,1Fam,1.5Fin,5,5,1958,1958,1920,1,0,2,0,3,4,2,2006,172500
179,20,StoneBr,Norm,1Fam,1Story,9,5,2008,2009,2234,1,0,2,0,3,1,3,2009,501837
180,30,OldTown,Norm,1Fam,1Story,5,6,1923,2006,968,0,0,1,0,1,2,2,2007,100000
181,160,Somerst,Norm,Twnhs,2Story,6,5,2000,2000,1525,0,0,2,1,2.5,3,2,2007,177000
182,70,Crawfor,Norm,1Fam,2Story,7,6,1920,1950,1802,0,0,1,1,1.5,4,1,2006,200100
183,20,Edwards,Artery,1Fam,1Story,5,6,1957,2006,1340,0,0,1,0,1,3,1,2007,120000
184,50,OldTown,Norm,1Fam,1.5Fin,7,5,2003,2003,2082,0,0,2,1,2.5,3,2,2008,200000
185,50,BrkSide,RRAn,1Fam,1.5Fin,5,8,1908,1991,1252,0,0,1,0,1,3,2,2006,127000
186,75,OldTown,Artery,1Fam,2.5Fin,10,9,1892,1993,3608,0,0,2,1,2.5,4,3,2006,475000
187,80,Mitchel,Norm,1Fam,SLvl,7,5,1990,1991,1217,1,0,2,0,3,3,2,2009,173000
188,50,OldTown,Norm,1Fam,1.5Fin,5,7,1916,1987,1656,0,0,2,1,2.5,3,1,2009,135000
189,90,SawyerW,Feedr,Duplex,SFoyer,5,5,1979,1979,1224,2,0,0,2,3,2,2,2009,153337
190,120,StoneBr,Norm,TwnhsE,1Story,8,5,2001,2002,1593,1,0,1,1,2.5,0,2,2008,286000
191,70,Crawfor,Norm,1Fam,2Story,8,8,1932,1994,2727,0,0,2,1,2.5,3,2,2007,315000
192,60,NAmes,Norm,1Fam,2Story,7,9,1972,2004,1479,1,0,1,1,2.5,4,2,2007,184000
193,20,CollgCr,Norm,1Fam,1Story,7,5,1999,1999,1431,1,0,2,0,3,3,2,2009,192000
194,160,Edwards,Norm,Twnhs,2Story,7,5,2004,2004,1709,0,0,2,0,2,3,2,2006,130000
195,20,CollgCr,Norm,1Fam,1Story,5,7,1972,1972,864,0,0,1,0,1,3,1,2008,127000
196,160,NPkVill,Norm,Twnhs,2Story,6,6,1976,1976,1456,0,0,2,1,2.5,3,2,2009,148500
197,20,Somerst,Norm,1Fam,1Story,7,5,2007,2007,1726,1,0,2,0,3,3,3,2007,311872
198,75,NAmes,Artery,1Fam,2Story,8,4,1918,1990,3112,1,1,2,0,3.5,4,2,2006,235000
199,75,OldTown,Norm,1Fam,2.5Fin,6,6,1912,1950,2229,0,0,1,0,1,5,0,2009,104000
200,20,NridgHt,Norm,1Fam,1Story,8,5,2004,2005,1713,1,0,2,0,3,3,3,2009,274900
201,20,Edwards,Norm,1Fam,1Story,4,5,2003,2004,1121,0,0,2,0,2,2,2,2010,140000
202,20,Mitchel,Norm,1Fam,1Story,6,6,1977,1977,1279,0,1,2,0,2.5,3,2,2008,171500
203,50,OldTown,Artery,1Fam,1.5Fin,6,6,1924,1950,1310,0,0,2,0,2,2,1,2006,112000
204,120,CollgCr,Norm,TwnhsE,1Story,6,5,2004,2004,848,1,0,1,0,2,1,2,2008,149000
205,50,OldTown,Norm,1Fam,1.5Fin,5,7,1947,1950,1284,0,0,1,1,1.5,2,1,2009,110000
206,20,Gilbert,Norm,1Fam,1Story,7,5,1990,1990,1442,0,0,2,0,2,3,2,2009,180500
207,20,Sawyer,RRAe,1Fam,1Story,5,5,1962,1962,1696,0,0,1,1,1.5,3,1,2007,143900
208,20,NAmes,Norm,1Fam,1Story,4,5,1960,1960,1100,1,0,1,0,2,3,1,2008,141000
209,60,SawyerW,Norm,1Fam,2Story,7,5,1988,1989,2062,1,0,2,1,3.5,3,2,2007,277000
210,20,NAmes,Norm,1Fam,1Story,6,7,1964,1964,1092,1,0,1,0,2,3,2,2008,145000
211,30,Edwards,Norm,1Fam,1Story,5,6,1925,1950,864,1,0,1,0,2,2,0,2008,98000
212,20,Edwards,Norm,1Fam,1Story,6,5,2009,2009,1212,0,0,2,0,2,3,2,2010,186000
213,60,Somerst,Norm,1Fam,2Story,7,5,2009,2009,1852,1,0,2,1,3.5,3,2,2009,252678
214,20,CollgCr,Norm,1Fam,1Story,5,5,1995,1995,990,0,1,1,0,1.5,3,2,2006,156000
215,60,CollgCr,Norm,1Fam,2Story,6,7,1977,1977,1392,0,0,1,1,1.5,3,1,2010,161750
216,20,NAmes,Norm,1Fam,1Story,5,6,1957,1996,1236,0,1,1,0,1.5,2,1,2006,134450
217,20,CollgCr,Norm,1Fam,1Story,7,5,2004,2004,1436,1,0,2,0,3,3,2,2008,210000
218,70,OldTown,Norm,1Fam,2Story,4,4,1925,1950,1328,0,0,1,0,1,3,1,2006,107000
219,50,Crawfor,Norm,1Fam,1.5Fin,7,9,1939,2006,1954,0,1,1,1,2,3,2,2008,311500
220,120,Blmngtn,Norm,TwnhsE,1Story,7,5,2005,2006,1248,0,0,2,0,2,2,2,2006,167240
221,20,CollgCr,Norm,1Fam,1Story,7,5,2006,2006,1498,0,0,2,0,2,2,2,2006,204900
222,60,Gilbert,Norm,1Fam,2Story,6,5,2002,2002,2267,0,0,2,1,2.5,4,2,2009,200000
223,60,NWAmes,RRAn,1Fam,2Story,6,6,1975,1975,1552,1,0,2,1,3.5,3,2,2006,179900
224,20,NAmes,Norm,1Fam,1Story,4,6,1971,1971,864,0,0,1,0,1,2,2,2009,97000
225,20,NridgHt,Norm,1Fam,1Story,10,5,2003,2003,2392,0,0,2,0,2,3,3,2009,386250
226,160,BrDale,Norm,Twnhs,2Story,5,5,1971,1971,1302,0,0,2,1,2.5,3,1,2009,112000
227,60,NoRidge,Norm,1Fam,2Story,7,5,1995,1995,2520,0,0,2,1,2.5,4,3,2007,290000
228,160,BrDale,Norm,Twnhs,2Story,6,6,1970,1970,987,0,0,1,1,1.5,2,1,2008,106000
229,20,Sawyer,Feedr,1Fam,1Story,5,5,1967,1967,912,0,0,1,0,1,3,1,2010,125000
230,120,Blmngtn,Norm,TwnhsE,1Story,7,5,2005,2006,1555,0,0,2,0,2,2,2,2009,192500
231,20,NAmes,Norm,1Fam,1Story,6,6,1959,1959,1194,1,0,1,0,2,3,1,2010,148000
232,60,NoRidge,Norm,1Fam,2Story,8,5,1995,1996,2794,1,0,2,1,3.5,4,3,2009,403000
233,160,BrDale,Norm,Twnhs,2Story,6,5,1972,1972,987,0,0,1,1,1.5,2,1,2006,94500
234,20,CollgCr,Norm,1Fam,1Story,5,6,1976,1976,894,1,0,1,0,2,3,1,2010,128200
235,60,Gilbert,Norm,1Fam,2Story,6,5,2002,2002,1960,1,0,2,1,3.5,4,2,2010,216500
236,160,BrDale,Norm,TwnhsE,2Story,6,3,1971,1971,987,0,0,1,1,1.5,2,1,2008,89500
237,20,CollgCr,Norm,1Fam,1Story,7,5,2004,2004,1414,0,0,2,0,2,3,2,2010,185500
238,60,SawyerW,RRNe,1Fam,2Story,7,7,1993,2003,1744,0,0,2,1,2.5,3,2,2010,194500
239,20,NridgHt,Norm,1Fam,1Story,8,5,2007,2007,1694,0,0,2,0,2,3,3,2007,318000
240,50,Edwards,Norm,1Fam,1.5Fin,6,4,1945,1950,1487,0,0,1,1,1.5,3,1,2010,113000
241,20,Somerst,Norm,1Fam,1Story,8,5,2008,2008,1566,1,0,2,0,3,3,2,2010,262500
